budget, difference in mean,difference in position,total vectors 
10,-4.29892621811,63,1000
10,-6.84476626297,97,1000
10,20.2980321455,265,1000
10,6.66740026829,91,1000
10,28.2989355384,346,1000
10,31.2150117694,381,1000
10,-10.2335282467,137,1000
10,15.1156675997,199,1000
10,2.94742829534,37,1000
10,6.79173388064,93,1000
10,-20.3531304815,229,1000
10,-27.5664628321,306,1000
10,12.0395435809,163,1000
10,46.6395693871,470,1000
10,82.3055659052,548,1000
10,-3.90585877283,57,1000
10,32.9761359328,390,1000
10,-19.5012200616,222,1000
10,-19.7963434046,224,1000
10,3.75068305295,51,1000
10,38.9329840476,436,1000
10,111.777423238,554,1000
10,-21.3883737326,244,1000
10,13.8301810042,183,1000
10,12.6882792593,167,1000
10,53.0233851305,494,1000
10,-46.6476895502,397,1000
10,25.5857706068,318,1000
10,3.1554279465,41,1000
10,44.0183664021,458,1000
10,-33.2390147929,344,1000
10,-4.36043593237,65,1000
10,16.4080811938,217,1000
10,-40.3648245913,375,1000
10,36.0298818725,415,1000
10,-30.3274431195,330,1000
10,-19.2639666535,221,1000
10,49.3542375696,487,1000
10,6.78865763865,92,1000
10,-24.2329611774,276,1000
10,36.512147315,418,1000
10,11.7547623234,159,1000
10,34.6346308418,404,1000
10,-53.0961865886,423,1000
10,1.41292342246,23,1000
10,34.8179112418,406,1000
10,6.08335889712,78,1000
10,-23.6145253604,267,1000
10,15.1931328385,201,1000
10,-27.8828908095,310,1000
10,41.1803079882,444,1000
10,-16.3507085188,195,1000
10,6.80544349785,94,1000
10,30.9734396463,378,1000
10,-21.6407170638,248,1000
10,-2.69418390218,42,1000
10,4.95080510154,67,1000
10,-25.7616230801,288,1000
10,-1.3605694745,25,1000
10,22.2901095118,286,1000
10,-0.264113977196,5,1000
10,-7.86345891558,106,1000
10,-97.2434724322,443,1000
10,0.436232973371,7,1000
10,26.1690932962,327,1000
10,-22.5144005775,259,1000
10,-52.219229195,418,1000
10,-53.0961865886,423,1000
10,-25.1555347318,282,1000
10,-50.7219583108,414,1000
10,6.55863160565,88,1000
10,9.88240960497,135,1000
10,-23.6145253604,267,1000
10,36.9652750027,422,1000
10,-4.54596475013,67,1000
10,-6.84476626297,97,1000
10,-4.11624534781,61,1000
10,-47.8892903854,404,1000
10,0.0,0,1000
10,21.5510173932,278,1000
10,-0.411285279398,8,1000
10,16.7960965852,225,1000
10,4.60545245904,63,1000
10,-36.2621894644,359,1000
10,-16.0807655752,191,1000
10,-0.264113977196,5,1000
10,-20.3531304815,229,1000
10,-0.393268838537,7,1000
10,-17.2323137659,206,1000
10,2.94742829534,37,1000
10,-8.36460044402,118,1000
10,-0.393268838537,7,1000
10,36.3413042667,417,1000
10,-24.2329611774,276,1000
10,-26.927767761,295,1000
10,49.5859901482,489,1000
10,-4.78779304583,71,1000
10,-3.20701380334,49,1000
10,-10.2722005617,138,1000
10,21.7324566031,281,1000
20,13.7472480032,182,1000
20,-20.3176609462,228,1000
20,-25.2995367544,283,1000
20,-11.4431804047,152,1000
20,9.88240960497,135,1000
20,23.9104917478,298,1000
20,53.5627011902,495,1000
20,-38.9111122508,367,1000
20,-12.5321098406,164,1000
20,-30.5918846827,333,1000
20,-3.22777713426,50,1000
20,-6.26744594,89,1000
20,5.60829748817,74,1000
20,6.29125514724,85,1000
20,-28.211633056,316,1000
20,-97.2434724322,443,1000
20,-9.50103375659,128,1000
20,-13.8239264379,173,1000
20,3.27041733256,43,1000
20,-18.9897801034,219,1000
20,-5.51815066817,79,1000
20,-18.2600350101,212,1000
20,-18.6587189945,215,1000
20,-23.247200277,266,1000
20,-2.60189135362,41,1000
20,-7.33713821433,103,1000
20,23.9465497254,299,1000
20,19.8235353904,259,1000
20,-25.375534436,284,1000
20,17.6041655278,236,1000
20,-10.6484557683,145,1000
20,-3.32592081347,51,1000
20,21.0031630646,271,1000
20,16.7960965852,225,1000
20,-23.9642609526,274,1000
20,3.52611169302,47,1000
20,-26.9744063937,296,1000
20,10.2870536352,143,1000
20,-39.1307144957,371,1000
20,-1.60670094381,27,1000
20,-42.462970006,385,1000
20,-10.2335282467,137,1000
20,-13.6096223748,172,1000
20,-7.0415037864,99,1000
20,-27.8828908095,310,1000
20,13.0153830322,173,1000
20,-15.6977653234,186,1000
20,-18.7852747064,217,1000
20,12.7206845455,168,1000
20,-28.0667820388,315,1000
20,-16.5402276325,199,1000
20,12.7314071756,169,1000
20,2.18673553436,30,1000
20,-21.5223003835,246,1000
20,13.4183629127,177,1000
20,-1.06950615038,19,1000
20,-10.5358755101,144,1000
20,-9.65252666421,131,1000
20,-3.32592081347,51,1000
20,-12.161213107,159,1000
20,-20.6101184369,234,1000
20,-9.50103375659,128,1000
20,11.8090401979,160,1000
20,-20.9435576672,237,1000
20,-5.7517296806,82,1000
20,21.414164495,275,1000
20,-13.0226204756,169,1000
20,25.3209520459,313,1000
20,26.0307086438,325,1000
20,-49.07888356,408,1000
20,18.5505767759,250,1000
20,-50.7219583108,414,1000
20,10.7154432656,148,1000
20,18.170535632,246,1000
20,-18.6587189945,215,1000
20,29.7693123253,363,1000
20,4.95080510154,67,1000
20,-67.8846207593,439,1000
20,9.40776486716,132,1000
20,8.91068353221,124,1000
20,-0.211027653465,3,1000
20,-2.26392996601,37,1000
20,-15.7225043481,187,1000
20,-29.4978263395,325,1000
20,9.39418895622,131,1000
20,16.7431448629,224,1000
20,47.0129900769,472,1000
20,21.5510173932,278,1000
20,22.1601098042,285,1000
20,-8.36460044402,118,1000
20,-19.1460438039,220,1000
20,-27.8828908095,310,1000
20,-21.9585266752,252,1000
20,-48.8176797659,407,1000
20,28.6063506143,349,1000
20,6.29125514724,85,1000
20,-47.9793425545,405,1000
20,-0.975183076805,17,1000
20,15.3895450582,207,1000
20,-16.1594412432,193,1000
40,0.149533041259,2,1000
40,-1.25752917013,22,1000
40,0.420506751133,5,1000
40,0.718630497241,14,1000
40,1.92681830691,29,1000
40,-39.450250421,372,1000
40,29.9355717936,367,1000
40,27.1051268303,337,1000
40,28.3031417008,347,1000
40,-13.1771165939,170,1000
40,-0.393268838537,7,1000
40,17.5778032487,235,1000
40,5.5682652927,73,1000
40,-7.33713821433,103,1000
40,-8.7655146986,122,1000
40,-9.50103375659,128,1000
40,-5.51815066817,79,1000
40,1.41292342246,23,1000
40,-2.85611283892,44,1000
40,6.29125514724,85,1000
40,-18.9897801034,219,1000
40,-27.3080538203,302,1000
40,3.2491138801,42,1000
40,25.5031201093,315,1000
40,-18.7437988232,216,1000
40,16.1538375653,214,1000
40,1.83381371623,26,1000
40,-21.3883737326,244,1000
40,-9.50103375659,128,1000
40,29.7693123253,363,1000
40,-4.76263754412,70,1000
40,-5.97809305401,85,1000
40,-7.11331344481,100,1000
40,-2.49221606179,39,1000
40,10.2680692291,142,1000
40,-11.5902394251,153,1000
40,-2.85611283892,44,1000
40,-12.5321098406,164,1000
40,19.7493725507,258,1000
40,4.32052343228,56,1000
40,-26.6205193515,293,1000
40,-10.4970738299,143,1000
40,29.0156493106,354,1000
40,-15.3629802532,183,1000
40,11.9038600044,162,1000
40,33.9476752854,396,1000
40,12.7206845455,168,1000
40,-22.5144005775,259,1000
40,-29.0575406211,321,1000
40,-1.1293031533,20,1000
40,-22.5224153794,260,1000
40,23.6118923507,293,1000
40,15.3895450582,207,1000
40,21.5002894185,277,1000
40,36.6668230577,419,1000
40,23.6325189914,294,1000
40,4.41513919823,59,1000
40,16.7431448629,224,1000
40,-25.7812301504,289,1000
40,-16.5402276325,199,1000
40,-12.5321098406,164,1000
40,-5.6354258635,81,1000
40,-20.8699195521,236,1000
40,-6.29036936131,90,1000
40,-5.42649649905,77,1000
40,-3.96624710356,58,1000
40,-3.22777713426,50,1000
40,-27.8828908095,310,1000
40,-34.6810139546,351,1000
40,-41.4609974058,380,1000
40,18.170535632,246,1000
40,-22.8889548727,263,1000
40,61.2946714988,523,1000
40,-40.929893687,378,1000
40,-39.7532651026,373,1000
40,-23.6864901014,268,1000
40,-7.91911670914,107,1000
40,13.1032607793,174,1000
40,6.1755726208,81,1000
40,6.65603194773,90,1000
40,-18.9897801034,219,1000
40,17.1107825582,231,1000
40,-38.3885616197,363,1000
40,15.4106641701,208,1000
40,25.5152386125,316,1000
40,-0.196615599,2,1000
40,1.67362856112,25,1000
40,4.87473593137,66,1000
40,-20.6564353663,235,1000
40,38.5357047424,433,1000
40,-13.8239264379,173,1000
40,-16.7565656851,201,1000
40,7.58739446552,105,1000
40,-21.3883737326,244,1000
40,32.4334153412,386,1000
40,-29.9927206526,328,1000
40,-43.2787521501,390,1000
40,26.7051069088,334,1000
40,14.9304979178,194,1000
40,-29.3819341589,324,1000
80,-21.3481666479,243,1000
80,-30.5918846827,333,1000
80,10.2870536352,143,1000
80,26.5030661489,332,1000
80,-8.67503714174,120,1000
80,3.74746643603,50,1000
80,21.0578583846,272,1000
80,5.42440483492,71,1000
80,8.36836606922,116,1000
80,-8.32519684557,116,1000
80,-22.4454551388,257,1000
80,4.87473593137,66,1000
80,-7.86345891558,106,1000
80,-39.8802339208,374,1000
80,-8.7655146986,122,1000
80,-7.86345891558,106,1000
80,18.4340846158,249,1000
80,18.391947326,248,1000
80,6.25918452893,84,1000
80,-19.9723732891,226,1000
80,14.9304979178,194,1000
80,6.55863160565,88,1000
80,26.02133297,323,1000
80,-28.5640206566,318,1000
80,-21.5223003835,246,1000
80,18.4340846158,249,1000
80,30.1099174909,369,1000
80,7.03707004788,97,1000
80,12.9817272164,171,1000
80,-10.6484557683,145,1000
80,-0.543722208209,10,1000
80,8.24113355269,112,1000
80,0.428142781323,6,1000
80,-42.9205348215,389,1000
80,-23.9466668381,272,1000
80,-10.3875509675,140,1000
80,-34.6810139546,351,1000
80,4.58604779004,62,1000
80,-27.1952842869,300,1000
80,-6.84476626297,97,1000
80,2.55403381044,32,1000
80,-8.2210808286,114,1000
80,3.32321381545,44,1000
80,26.4403208288,330,1000
80,0.445461491132,8,1000
80,-12.5321098406,164,1000
80,-12.4618927088,161,1000
80,20.2980321455,265,1000
80,-16.4641106775,197,1000
80,10.2937766083,144,1000
80,3.36674178659,46,1000
80,-16.9358289848,202,1000
80,25.0004913511,308,1000
80,-3.20701380334,49,1000
80,-12.6340656185,166,1000
80,8.10711602104,109,1000
80,-5.16606712078,76,1000
80,14.6542222975,192,1000
80,10.1715202156,139,1000
80,-12.5321098406,164,1000
80,21.4692026535,276,1000
80,-14.3247631914,176,1000
80,37.5571422782,427,1000
80,-3.11656476113,48,1000
80,27.4908250411,341,1000
80,8.65161833036,121,1000
80,-6.84476626297,97,1000
80,-27.0864829297,297,1000
80,-41.4609974058,380,1000
80,-52.3990822227,419,1000
80,7.39588773331,100,1000
80,-2.85611283892,44,1000
80,-2.10169709982,35,1000
80,0.149533041259,2,1000
80,-10.4572602877,142,1000
80,-12.6146380502,165,1000
80,0.659813979315,11,1000
80,-28.3198058566,317,1000
80,6.29125514724,85,1000
80,-0.543722208209,10,1000
80,17.1107825582,231,1000
80,6.79173388064,93,1000
80,26.5889037659,333,1000
80,7.58739446552,105,1000
80,-9.28764205882,125,1000
80,-41.7627410194,383,1000
80,6.40708448964,86,1000
80,-38.9111122508,367,1000
80,-3.03245408404,46,1000
80,-10.4572602877,142,1000
80,18.4340846158,249,1000
80,4.4352846829,60,1000
80,-28.0438553732,314,1000
80,-16.4641106775,197,1000
80,-10.4970738299,143,1000
80,-1.79062133231,29,1000
80,-12.4618927088,161,1000
80,11.8304522186,161,1000
80,3.32824265279,45,1000
80,-26.927767761,295,1000
160,-33.0447208935,341,1000
160,-2.97432056012,45,1000
160,-4.31326057863,64,1000
160,2.94742829534,37,1000
160,14.7121059673,193,1000
160,-19.53157179,223,1000
160,19.3570803473,255,1000
160,-11.1164334726,148,1000
160,-8.20900322067,113,1000
160,-12.6340656185,166,1000
160,-4.78779304583,71,1000
160,26.1690932962,327,1000
160,3.1554279465,41,1000
160,16.806720843,226,1000
160,5.46177753559,72,1000
160,13.7298309961,181,1000
160,-15.3629802532,183,1000
160,-5.42649649905,77,1000
160,-22.0585339019,254,1000
160,14.6116580689,191,1000
160,-9.39899274934,127,1000
160,8.38240774646,117,1000
160,-15.0085565816,180,1000
160,-19.5012200616,222,1000
160,5.42440483492,71,1000
160,-15.5285326892,184,1000
160,5.06645739981,69,1000
160,-29.16675261,322,1000
160,10.0216794534,136,1000
160,-3.03245408404,46,1000
160,25.5857706068,318,1000
160,7.56907108346,104,1000
160,0.0,0,1000
160,0.149533041259,2,1000
160,47.857902545,476,1000
160,-22.5224153794,260,1000
160,-5.42649649905,77,1000
160,0.401095109156,4,1000
160,18.2752661425,247,1000
160,-5.51815066817,79,1000
160,-2.10169709982,35,1000
160,-15.5285326892,184,1000
160,-3.9022885313,56,1000
160,-6.29036936131,90,1000
160,-5.51815066817,79,1000
160,4.95080510154,67,1000
160,-11.4079387185,150,1000
160,-39.0849934428,369,1000
160,6.24019704507,83,1000
160,0.743979874028,17,1000
160,8.19158335288,110,1000
160,-9.50103375659,128,1000
160,8.26038182042,113,1000
160,-32.0845819372,339,1000
160,-21.5371725537,247,1000
160,-11.4431804047,152,1000
160,8.48805632766,119,1000
160,-6.84476626297,97,1000
160,-6.29036936131,90,1000
160,-1.88543772283,31,1000
160,-2.5432517115,40,1000
160,-29.9927206526,328,1000
160,-13.8239264379,173,1000
160,-29.5038162215,326,1000
160,-23.0438284904,265,1000
160,17.5616148061,233,1000
160,-15.6172555892,185,1000
160,-9.39899274934,127,1000
160,-8.20900322067,113,1000
160,7.39588773331,100,1000
160,-38.3885616197,363,1000
160,-10.5358755101,144,1000
160,-6.46177775316,93,1000
160,-11.4161790411,151,1000
160,21.9790919131,284,1000
160,6.80544349785,94,1000
160,-1.50973467176,26,1000
160,-34.6225984066,349,1000
160,-7.20192931824,102,1000
160,6.89999674209,96,1000
160,4.19366629863,54,1000
160,2.55403381044,32,1000
160,8.36487237748,115,1000
160,10.6049246732,147,1000
160,13.1702888783,175,1000
160,-3.96624710356,58,1000
160,3.75068305295,51,1000
160,20.5215799306,266,1000
160,-8.03598949725,110,1000
160,-17.0582568612,205,1000
160,6.81424172341,95,1000
160,6.65603194773,90,1000
160,21.9124940031,283,1000
160,13.7472480032,182,1000
160,-3.61594314323,54,1000
160,-10.7110938647,146,1000
160,19.5074954734,256,1000
160,4.60545245904,63,1000
160,-8.03598949725,110,1000
160,-7.0415037864,99,1000
320,-9.39899274934,127,1000
320,-8.32522748429,117,1000
320,0.401095109156,4,1000
320,10.6049246732,147,1000
320,-8.64356008115,119,1000
320,4.41513919823,59,1000
320,-21.5223003835,246,1000
320,-3.11656476113,48,1000
320,4.35351388374,57,1000
320,-25.375534436,284,1000
320,21.8801048157,282,1000
320,-8.20900322067,113,1000
320,-28.3198058566,317,1000
320,5.5682652927,73,1000
320,9.53975893648,133,1000
320,2.55403381044,32,1000
320,8.38240774646,117,1000
320,15.7963676119,210,1000
320,10.0216794534,136,1000
320,-4.39950435194,66,1000
320,1.87958483034,27,1000
320,-4.11624534781,61,1000
320,-3.96624710356,58,1000
320,-4.31326057863,64,1000
320,4.60545245904,63,1000
320,-4.39950435194,66,1000
320,4.87473593137,66,1000
320,10.7154432656,148,1000
