budget, difference in mean,difference in position,total vectors 
10,-9.96384434944,1,1000
20,-19.9933743024,2,1000
40,-9.96384434944,1,1000
80,-19.9933743024,2,1000
160,-9.96384434944,1,1000
320,-9.96384434944,1,1000
640,-9.96384434944,1,1000
1280,-19.9933743024,2,1000
2560,-9.96384434944,1,1000
5120,-9.96384434944,1,1000
