budget, difference in mean,difference in position,total vectors 
10,-58.997821031,15,1000
10,-97.8431690691,22,1000
10,-48.4595366033,14,1000
10,-96.9447485673,20,1000
10,-98.6552126185,24,1000
10,-41.9782174406,12,1000
10,-23.4846761602,8,1000
10,-13.0797188682,5,1000
10,-15.2960722587,6,1000
10,-16.3960241596,7,1000
10,-27.6433465473,9,1000
10,-33.5839813045,11,1000
10,-82.9116949976,17,1000
10,5.16827879619,3,1000
10,9.81564974032,7,1000
10,-27.6433465473,9,1000
10,-15.2960722587,6,1000
10,-10.7857780535,2,1000
10,-145.690889355,30,1000
10,-16.3960241596,7,1000
10,-23.4846761602,8,1000
10,-11.0951568735,3,1000
10,-82.9116949976,17,1000
10,-8.68929705089,1,1000
10,-30.7661282415,10,1000
10,-11.0951568735,3,1000
10,-15.2960722587,6,1000
10,-91.7829718869,19,1000
10,-98.6552126185,24,1000
10,-91.7829718869,19,1000
10,-16.3960241596,7,1000
10,0.0,0,1000
10,-30.7661282415,10,1000
10,-10.7857780535,2,1000
10,9.81564974032,7,1000
10,4.92379205396,2,1000
10,-153.769235827,33,1000
10,-82.4242765463,16,1000
10,-23.4846761602,8,1000
10,5.52485848808,4,1000
10,-15.2960722587,6,1000
10,-82.9116949976,17,1000
10,-82.4242765463,16,1000
10,-97.8431690691,22,1000
10,-33.5839813045,11,1000
10,-48.4595366033,14,1000
10,-13.0797188682,5,1000
10,48.2011457272,14,1000
10,-33.5839813045,11,1000
10,-41.9782174406,12,1000
10,2.96962766396,1,1000
10,6.82727248453,5,1000
10,-41.9782174406,12,1000
10,0.0,0,1000
10,-45.7954957512,13,1000
10,-10.7857780535,2,1000
10,-90.6287025681,18,1000
10,18.1186196274,8,1000
10,-11.1099901625,4,1000
10,-33.5839813045,11,1000
10,-33.5839813045,11,1000
10,-96.9449715771,21,1000
10,-33.5839813045,11,1000
10,-10.7857780535,2,1000
10,-45.7954957512,13,1000
10,-11.0951568735,3,1000
10,-10.7857780535,2,1000
10,-180.714083164,40,1000
10,-98.5434054498,23,1000
10,-48.4595366033,14,1000
10,48.2011457272,14,1000
10,-23.4846761602,8,1000
10,-106.01066383,26,1000
10,-82.4242765463,16,1000
10,18.1186196274,8,1000
10,-97.8431690691,22,1000
10,-41.9782174406,12,1000
10,-33.5839813045,11,1000
10,20.3528119953,9,1000
10,36.2192041635,11,1000
10,-11.0951568735,3,1000
10,-96.9447485673,20,1000
10,-23.4846761602,8,1000
10,0.0,0,1000
10,-30.7661282415,10,1000
10,-13.0797188682,5,1000
10,-82.9116949976,17,1000
10,-91.7829718869,19,1000
10,0.0,0,1000
10,-30.7661282415,10,1000
10,-27.6433465473,9,1000
10,6.82727248453,5,1000
10,-33.5839813045,11,1000
10,-82.9116949976,17,1000
10,4.92379205396,2,1000
10,-11.0951568735,3,1000
10,-82.4242765463,16,1000
10,-30.7661282415,10,1000
10,-16.3960241596,7,1000
10,-96.9447485673,20,1000
20,-15.2960722587,6,1000
20,-58.997821031,15,1000
20,6.82727248453,5,1000
20,-11.0951568735,3,1000
20,-27.6433465473,9,1000
20,-11.1099901625,4,1000
20,-41.9782174406,12,1000
20,-153.769235827,33,1000
20,-30.7661282415,10,1000
20,-90.6287025681,18,1000
20,4.92379205396,2,1000
20,-11.1099901625,4,1000
20,-82.9116949976,17,1000
20,-41.9782174406,12,1000
20,-45.7954957512,13,1000
20,-82.4242765463,16,1000
20,-27.6433465473,9,1000
20,-82.9116949976,17,1000
20,20.3528119953,9,1000
20,-30.7661282415,10,1000
20,-23.4846761602,8,1000
20,5.16827879619,3,1000
20,5.52485848808,4,1000
20,-23.4846761602,8,1000
20,-153.769235827,33,1000
20,-96.9447485673,20,1000
20,-82.9116949976,17,1000
20,-90.6287025681,18,1000
20,-33.5839813045,11,1000
20,-33.5839813045,11,1000
20,-96.9447485673,20,1000
20,-23.4846761602,8,1000
20,-82.9116949976,17,1000
20,-41.9782174406,12,1000
20,-106.01066383,26,1000
20,-91.7829718869,19,1000
20,-16.3960241596,7,1000
20,-30.7661282415,10,1000
20,-27.6433465473,9,1000
20,5.16827879619,3,1000
20,-41.9782174406,12,1000
20,-106.01066383,26,1000
20,8.89458680977,6,1000
20,-90.6287025681,18,1000
20,-16.3960241596,7,1000
20,-8.68929705089,1,1000
20,5.16827879619,3,1000
20,-82.9116949976,17,1000
20,-15.2960722587,6,1000
20,-30.7661282415,10,1000
20,-82.4242765463,16,1000
20,-16.3960241596,7,1000
20,-82.4242765463,16,1000
20,-23.4846761602,8,1000
20,-82.4242765463,16,1000
20,-23.4846761602,8,1000
20,0.0,0,1000
20,0.0,0,1000
20,-90.6287025681,18,1000
20,-41.9782174406,12,1000
20,-11.1099901625,4,1000
20,-96.9449715771,21,1000
20,-11.0951568735,3,1000
20,-8.68929705089,1,1000
20,5.16827879619,3,1000
20,-30.7661282415,10,1000
20,-15.2960722587,6,1000
20,-23.4846761602,8,1000
20,-41.9782174406,12,1000
20,-41.9782174406,12,1000
20,-30.7661282415,10,1000
20,-23.4846761602,8,1000
20,-15.2960722587,6,1000
20,-82.9116949976,17,1000
20,-48.4595366033,14,1000
20,-41.9782174406,12,1000
20,-91.7829718869,19,1000
20,-58.997821031,15,1000
20,-16.3960241596,7,1000
20,-82.9116949976,17,1000
20,2.96962766396,1,1000
20,-48.4595366033,14,1000
20,6.82727248453,5,1000
20,-58.997821031,15,1000
20,-33.5839813045,11,1000
20,-33.5839813045,11,1000
20,-8.68929705089,1,1000
20,-33.5839813045,11,1000
20,6.82727248453,5,1000
20,-16.3960241596,7,1000
20,-41.9782174406,12,1000
20,-11.0951568735,3,1000
20,-82.4242765463,16,1000
20,40.4713282281,12,1000
20,-30.7661282415,10,1000
20,5.16827879619,3,1000
20,-13.0797188682,5,1000
20,-33.5839813045,11,1000
20,-90.6287025681,18,1000
20,-30.7661282415,10,1000
40,-41.9782174406,12,1000
40,-33.5839813045,11,1000
40,-58.997821031,15,1000
40,-8.68929705089,1,1000
40,-23.4846761602,8,1000
40,-82.4242765463,16,1000
40,-41.9782174406,12,1000
40,-82.4242765463,16,1000
40,-41.9782174406,12,1000
40,-96.9447485673,20,1000
40,-58.997821031,15,1000
40,-13.0797188682,5,1000
40,-10.7857780535,2,1000
40,-23.4846761602,8,1000
40,-27.6433465473,9,1000
40,-82.4242765463,16,1000
40,-27.6433465473,9,1000
40,9.81564974032,7,1000
40,-33.5839813045,11,1000
40,-27.6433465473,9,1000
40,-41.9782174406,12,1000
40,-58.997821031,15,1000
40,-82.9116949976,17,1000
40,0.0,0,1000
40,-11.1099901625,4,1000
40,-45.7954957512,13,1000
40,-33.5839813045,11,1000
40,0.0,0,1000
40,-41.9782174406,12,1000
40,-11.1099901625,4,1000
40,-41.9782174406,12,1000
40,-27.6433465473,9,1000
40,-41.9782174406,12,1000
40,-30.7661282415,10,1000
40,-11.0951568735,3,1000
40,2.96962766396,1,1000
40,-27.6433465473,9,1000
40,-41.9782174406,12,1000
40,-15.2960722587,6,1000
40,-58.997821031,15,1000
40,-33.5839813045,11,1000
40,-82.9116949976,17,1000
40,-30.7661282415,10,1000
40,-82.4242765463,16,1000
40,-90.6287025681,18,1000
40,-41.9782174406,12,1000
40,-82.4242765463,16,1000
40,5.16827879619,3,1000
40,-10.7857780535,2,1000
40,-27.6433465473,9,1000
40,-90.6287025681,18,1000
40,-11.1099901625,4,1000
40,5.16827879619,3,1000
40,-90.6287025681,18,1000
40,21.5182196,10,1000
40,2.96962766396,1,1000
40,-33.5839813045,11,1000
40,-10.7857780535,2,1000
40,-41.9782174406,12,1000
40,-33.5839813045,11,1000
40,0.0,0,1000
40,-16.3960241596,7,1000
40,-30.7661282415,10,1000
40,8.89458680977,6,1000
40,-16.3960241596,7,1000
40,-27.6433465473,9,1000
40,-10.7857780535,2,1000
40,9.81564974032,7,1000
40,-45.7954957512,13,1000
40,-11.1099901625,4,1000
40,-16.3960241596,7,1000
40,-15.2960722587,6,1000
40,-41.9782174406,12,1000
40,-41.9782174406,12,1000
40,-30.7661282415,10,1000
40,-16.3960241596,7,1000
40,-11.0951568735,3,1000
40,-41.9782174406,12,1000
40,-82.9116949976,17,1000
40,-82.9116949976,17,1000
40,-15.2960722587,6,1000
40,-33.5839813045,11,1000
40,-41.9782174406,12,1000
40,4.92379205396,2,1000
40,-45.7954957512,13,1000
40,-41.9782174406,12,1000
40,-33.5839813045,11,1000
40,0.0,0,1000
40,-82.9116949976,17,1000
40,-13.0797188682,5,1000
40,-11.0951568735,3,1000
40,-16.3960241596,7,1000
40,-33.5839813045,11,1000
40,-27.6433465473,9,1000
40,-96.9447485673,20,1000
40,-41.9782174406,12,1000
40,-82.9116949976,17,1000
40,18.1186196274,8,1000
40,-11.0951568735,3,1000
40,-10.7857780535,2,1000
80,-23.4846761602,8,1000
80,-23.4846761602,8,1000
80,-33.5839813045,11,1000
